product_name,school_name,full_url,cost,prog_type,difficulty,skills,description
Website Performance Optimization,School of Programming & Development,https://www.udacity.com/course/website-performance-optimization--ud884,free,course,intermediate,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations","Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!Learn More"
iOS Networking with Swift,School of Programming & Development,https://www.udacity.com/course/ios-networking-with-swift--ud421,free,course,advanced,"Networking, URLSession, JSON Parsing",Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.Learn More
JavaScript Design Patterns,School of Programming & Development,https://www.udacity.com/course/javascript-design-patterns--ud989,free,course,advanced,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS",Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.Learn More
Android Basics: User Input,School of Programming & Development,https://www.udacity.com/course/android-basics-user-input--ud836,free,course,beginner,"Android Development, Java, Object Oriented Programming, Conditional Code, Methods, Variables",Learn how to make your apps interactive using buttons and text! In this course you'll learn the basics of the Java programming language and how to apply them to Android.Learn More
Android Performance,School of Programming & Development,https://www.udacity.com/course/android-performance--ud825,free,course,advanced,"Android Development, Performance, Optimization","Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.Learn More"
Responsive Images,School of Programming & Development,https://www.udacity.com/course/responsive-images--ud882,free,course,intermediate,"Responsive Images, Mobile Image debugging, Creating responsive graphics",Go beyond image tags! Learn how to make images a part of your responsive design workflow.Learn More
Xcode Debugging,School of Programming & Development,https://www.udacity.com/course/xcode-debugging--ud774,free,course,advanced,"Debugging, LLDB","In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.Learn More"
Gradle for Android and Java,School of Programming & Development,https://www.udacity.com/course/gradle-for-android-and-java--ud867,free,course,advanced,"Android Development, Gradle, Java",Build bigger and better Android and Java apps using the Gradle build tool.Learn More
Build Native Mobile Apps with Flutter,School of Programming & Development,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,free,course,intermediate,Android Development,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.Learn More
JavaScript Promises,School of Programming & Development,https://www.udacity.com/course/javascript-promises--ud898,free,course,advanced,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work",Learn how to simplify asynchronous work with Native JavaScript Promises!Learn More
UIKit Fundamentals,School of Programming & Development,https://www.udacity.com/course/uikit-fundamentals--ud788,free,course,intermediate,"AutoLayout, Navigation, Table Views, Collection Views","Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.Learn More"
Android Basics: User Interface,School of Programming & Development,https://www.udacity.com/course/android-basics-user-interface--ud834,free,course,beginner,"Android Development, Building Layouts, Android Studio, Views and ViewGroups, Styling",Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.Learn More
Client-Server Communication,School of Programming & Development,https://www.udacity.com/course/client-server-communication--ud897,free,course,advanced,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication","Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.Learn More"
What is Programming?,School of Programming & Development,https://www.udacity.com/course/what-is-programming--ud994,free,course,beginner,"",This course is your first step towards a career in programming.Learn More
Building High Conversion Web Forms,School of Programming & Development,https://www.udacity.com/course/building-high-conversion-web-forms--ud890,free,course,intermediate,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms","Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.Learn More"
Advanced Android App Development,School of Programming & Development,https://www.udacity.com/course/advanced-android-app-development--ud855,free,course,advanced,"Android Development, Fragments, Libraries, Firebase, Espresso","Make your app production-ready by applying advanced features like library integration, material design, widgets, receiving cloud messages, and more!Learn More"
Software Architecture & Design,School of Programming & Development,https://www.udacity.com/course/software-architecture-design--ud821,free,course,intermediate,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.Learn More
Intro to Information Security,School of Programming & Development,https://www.udacity.com/course/intro-to-information-security--ud459,free,course,intermediate,"Software Security, Cryptography, Network Security, Privacy, Public Policy",Learn More
Authentication & Authorization: OAuth,School of Programming & Development,https://www.udacity.com/course/authentication-authorization-oauth--ud330,free,course,intermediate,"Flask, OAuth 2.0, Authentication & Authorization, Python",Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.Learn More
Intro to iOS App Development with Swift,School of Programming & Development,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585,free,course,intermediate,"Swift, UIKit, AVFoundation",Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.Learn More
Introduction to Operating Systems,School of Programming & Development,https://www.udacity.com/course/introduction-to-operating-systems--ud923,free,course,intermediate,"Processes & Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems","Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.Learn More"
Android Basics: Networking,School of Programming & Development,https://www.udacity.com/course/android-basics-networking--ud843,free,course,beginner,"Android Development, JSON Parsing, HTTP Networking, Threads and Parallelism, Control Flow and Conditionals, Preferences","This class teaches the basics of networking using Android, and is a part of the Android Basics Nanodegree by Google.Learn More"
Web Accessibility,School of Programming & Development,https://www.udacity.com/course/web-accessibility--ud891,free,course,advanced,"Accessibility, Screen Readers, Focus, Semantics, ARIA","Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement.Learn More"
Android Basics: Data Storage,School of Programming & Development,https://www.udacity.com/course/android-basics-data-storage--ud845,free,course,beginner,"Android Development, SQLite, ContentProvider, CursorAdapter & CursorLoader, Database, Design","In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!Learn More"
Scalable Microservices with Kubernetes,School of Programming & Development,https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615,free,course,intermediate,"Microservices, Docker, Kubernetes, Deploying Microservices","This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower.Learn More"
Developing Android Apps with Kotlin,School of Programming & Development,https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012,free,course,intermediate,Android Development,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.Learn More
Browser Rendering Optimization,School of Programming & Development,https://www.udacity.com/course/browser-rendering-optimization--ud860,free,course,advanced,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app",This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.Learn More
Learn Swift Programming Syntax,School of Programming & Development,https://www.udacity.com/course/learn-swift-programming-syntax--ud902,free,course,intermediate,"Variables and Constants, Control Flow, Functions, Optionals, OOP","This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.Learn More"
Offline Web Applications,School of Programming & Development,https://www.udacity.com/course/offline-web-applications--ud899,free,course,intermediate,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching",Learn how to develop offline-first web application using Service Workers and IndexedDB.Learn More
Kotlin for Android Developers,School of Programming & Development,https://www.udacity.com/course/kotlin-for-android-developers--ud888,free,course,advanced,"Kotlin, Android","Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.Learn More"
UX Design for Mobile Developers,School of Programming & Development,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849,free,course,beginner,"Android, UX Design, User-Centered Design",This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.Learn More
Software Development Process,School of Programming & Development,https://www.udacity.com/course/software-development-process--ud805,free,course,intermediate,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development Methodology","Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.Learn More"
Data Visualization in Tableau,School of Programming & Development,https://www.udacity.com/course/data-visualization-in-tableau--ud1006,free,course,beginner,"Tableau, Design of Visualizations, Visual Encodings",Learn the fundamentals of data visualization and practice communicating with data.Learn More
Intro to Progressive Web Apps,School of Programming & Development,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811,free,course,intermediate,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps",In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!Learn More
Writing READMEs,School of Programming & Development,https://www.udacity.com/course/writing-readmes--ud777,free,course,beginner,"README, Markdown, Making code easier to read",Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!Learn More
Software Analysis & Testing,School of Programming & Development,https://www.udacity.com/course/software-analysis-testing--ud333,free,course,intermediate,"Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution","This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.Learn More"
iOS Persistence and Core Data,School of Programming & Development,https://www.udacity.com/course/ios-persistence-and-core-data--ud325,free,course,advanced,"Data Persistence, Core Data, UserDefaults, FileManager","Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.Learn More"
Computer Networking,School of Programming & Development,https://www.udacity.com/course/computer-networking--ud436,free,course,intermediate,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping",This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.Learn More
Firebase Analytics: iOS,School of Programming & Development,https://www.udacity.com/course/firebase-analytics-ios--ud353,free,course,intermediate,"Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links","Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solutionLearn More"
Human-Computer Interaction,School of Programming & Development,https://www.udacity.com/course/human-computer-interaction--ud400,free,course,intermediate,"Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping","This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.Learn More"
2D Game Development with libGDX,School of Programming & Development,https://www.udacity.com/course/2d-game-development-with-libgdx--ud405,free,course,intermediate,"LibGDX, Game Development, 2D","This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles.Learn More"
Intro to jQuery,School of Programming & Development,https://www.udacity.com/course/intro-to-jquery--ud245,free,course,intermediate,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content",Learn how to access and modify the DOM with ease using jQuery!Learn More
Cyber-Physical Systems Security,School of Programming & Development,https://www.udacity.com/course/cyber-physical-systems-security--ud279,free,course,intermediate,"Industrial Networks, Industrial Control Systems, Smart Grid Infrastructure, Cyber Security, Privacy",This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.Learn More
Introduction to Graduate Algorithms,School of Programming & Development,https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401,free,course,advanced,Georgia Institute of Technology,Learn advanced techniques for designing algorithms and apply them to hard computational problems.Learn More
Dynamic Web Applications with Sinatra,School of Programming & Development,https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268,free,course,intermediate,"Ruby, Sinatra, Building web applications","Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.Learn More"
How to Make a Platformer Using libGDX,School of Programming & Development,https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406,free,course,intermediate,"LibGDX, Game Development, Asset management","This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies.Learn More"
JavaScript Testing,School of Programming & Development,https://www.udacity.com/course/javascript-testing--ud549,free,course,intermediate,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow",Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.Learn More
Object-Oriented JavaScript,School of Programming & Development,https://www.udacity.com/course/object-oriented-javascript--ud711,free,course,intermediate,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance",Learn More
Localization Essentials,School of Programming & Development,https://www.udacity.com/course/localization-essentials--ud610,free,course,beginner,"Localization, Google Translator Toolkit, Localization at Google","Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.Learn More"
Compilers: Theory and Practice,School of Programming & Development,https://www.udacity.com/course/compilers-theory-and-practice--ud168,free,course,intermediate,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis",This course teaches the theory and practice behind building compilers for higher level programming languages.Learn More
HTML5 Canvas,School of Programming & Development,https://www.udacity.com/course/html5-canvas--ud292,free,course,beginner,"HTML5 Canvas, Canvas2D, Creating animation",Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.Learn More
Object Oriented Programming in Java,School of Programming & Development,https://www.udacity.com/course/object-oriented-programming-in-java--ud283,free,course,intermediate,"Object Oriented Programming, Java, User Interaction",Learn how to apply powerful object-oriented programming concepts in JavaLearn More
Designing RESTful APIs,School of Programming & Development,https://www.udacity.com/course/designing-restful-apis--ud388,free,course,intermediate,"Flask, REST APIs, Python",Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.Learn More
GT - Refresher - Advanced OS,School of Programming & Development,https://www.udacity.com/course/gt-refresher-advanced-os--ud098,free,course,intermediate,"Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking","This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT """"Advanced Operating Systems"""" sequence.Learn More"
Intro to JavaScript,School of Programming & Development,https://www.udacity.com/course/intro-to-javascript--ud803,free,course,beginner,"JavaScript, Conditionals, Loops, Data Types & Variables","Learn the fundamentals of JavaScript, the most popular programming language in web development.Learn More"
Grand Central Dispatch (GCD),School of Programming & Development,https://www.udacity.com/course/grand-central-dispatch-gcd--ud576,free,course,intermediate,"Closures, GCD",Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.Learn More
Swift for Beginners,School of Programming & Development,https://www.udacity.com/course/swift-for-beginners--ud1022,free,course,beginner,"Variables and Constants, Strings, Control Flow, Functions","Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.Learn More"
Intro to Statistics,School of Programming & Development,https://www.udacity.com/course/intro-to-statistics--st101,free,course,beginner,"Probability, Descriptive Statistics, Inferential Statistics","Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged.Learn More"
Intro to HTML and CSS,School of Programming & Development,https://www.udacity.com/course/intro-to-html-and-css--ud001,free,course,beginner,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set","In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.Learn More"
Developing Android Apps,School of Programming & Development,https://www.udacity.com/course/new-android-fundamentals--ud851,free,course,intermediate,"Android Development, Layouts, Intents, UI","Build a cloud-connected Android app, and learn the tools, principles, and best practices of mobile and Android development that you'll apply to your own projects.Learn More"
Introduction to Python Programming,School of Programming & Development,https://www.udacity.com/course/introduction-to-python--ud1110,free,course,beginner,"","In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. You’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts, and handle errors. Lastly, you’ll learn to find and use modules in the Python Standard Library and other third-party libraries.Learn More"
Introduction to Virtual Reality,School of Programming & Development,https://www.udacity.com/course/introduction-to-virtual-reality--ud1012,free,course,beginner,"VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS","If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.Learn More"
Objective-C for Swift Developers,School of Programming & Development,https://www.udacity.com/course/objective-c-for-swift-developers--ud1009,free,course,intermediate,"iOS, Swift, Objective-C, Control Flow Syntax","Learn the distinguishing language features of Objective-C. Practice Objective-C syntax by writing classes, and writing and calling methods.Learn More"
Software Testing,School of Programming & Development,https://www.udacity.com/course/software-testing--cs258,free,course,intermediate,"Software Testing, Debugging, Code Coverage",Learn how to catch bugs and break software as you discover different testing methods that will help you build better software.Learn More
Interactive 3D Graphics,School of Programming & Development,https://www.udacity.com/course/interactive-3d-graphics--cs291,free,course,intermediate,"Animated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel Shaders","This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.Learn More"
Full Stack Foundations,School of Programming & Development,https://www.udacity.com/course/full-stack-foundations--ud088,free,course,intermediate,"Flask, CRUD, Model-View-Controller, Python, Object-relational Mapping",Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.Learn More
High Performance Computer Architecture,School of Programming & Development,https://www.udacity.com/course/high-performance-computer-architecture--ud007,free,course,advanced,"Processor Pipelining, Branch Prediction, Instruction Scheduling, Memory Ordering, Multiprocessor Architectures","The HPCA course covers performance measurement, pipelining, and improved parallelism through various means.Learn More"
AutoLayout,School of Programming & Development,https://www.udacity.com/course/auto-layout--ud1026,free,course,intermediate,"Design, UI, Stack Views, Constraints","With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.Learn More"
Kotlin Bootcamp for Programmers,School of Programming & Development,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011,free,course,intermediate,Android Development,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.Learn More
Shell Workshop,School of Programming & Development,https://www.udacity.com/course/shell-workshop--ud206,free,course,"","",Learn More
Core ML: Machine Learning for iOS,School of Programming & Development,https://www.udacity.com/course/core-ml--ud1038,free,course,intermediate,"iOS, Image Classification, Core ML",Learn how to use Apple's Core ML framework to build iOS apps with intelligent new features.Learn More
Statistics,School of Programming & Development,https://www.udacity.com/course/statistics--st095,free,course,beginner,"Statistical Research Methods, Data Visualization, Distributions, Hypothesis Testing, Regression",We live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.Learn More
Intro to Theoretical Computer Science,School of Programming & Development,https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313,free,course,intermediate,"theoretical computer science, NP-completeness, Recognizing algorithmic problems, Solving algorithmic problems",Learn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.Learn More
Design of Computer Programs,School of Programming & Development,https://www.udacity.com/course/design-of-computer-programs--cs212,free,course,advanced,"Computer Program Design, Python, Design Process","Learn how to model problems, and how to optimize performance by using some of the advanced features of Python.Learn More"
Data Wrangling with MongoDB,School of Programming & Development,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032,free,course,intermediate,"Gathering Data, Assessing Data, Cleaning Data, Data Wrangling, MongoDB","Data Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need.Learn More"
Swift for Developers,School of Programming & Development,https://www.udacity.com/course/swift-for-developers--ud1025,free,course,beginner,"Variables and Constants, Strings, Control Flow, Functions",Get a quick practical introduction to Swift programming basics and build your first iOS app!Learn More
Firebase in a Weekend: Android,School of Programming & Development,https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352,free,course,intermediate,Android Development,This course will teach you when and why to choose Firebase as a backend for your Android application.Learn More
Software Debugging,School of Programming & Development,https://www.udacity.com/course/software-debugging--cs259,free,course,intermediate,"Debugging, Python, Automated Debugging",In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.Learn More
Deploying a Hadoop Cluster,School of Programming & Development,https://www.udacity.com/course/deploying-a-hadoop-cluster--ud1000,free,course,intermediate,"Data Analysis, Hadoop, MapReduce",Deploy your own Hadoop cluster to crunch some big data!Learn More
Server-Side Swift,School of Programming & Development,https://www.udacity.com/course/server-side-swift--ud1031,free,course,intermediate,"Swift Package Manager, MySQL, Docker, Terraform, Microservices","In this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications.Learn More"
Programming Languages,School of Programming & Development,https://www.udacity.com/course/programming-languages--cs262,free,course,intermediate,"Introduciton to Programming Languages, Validate and Process Strings, HTML and JavaScript, Build your own web browser","This course is an introduction to the fundamentals of programming languages. Concepts include how to specify and process valid strings, sentences and program structures.Learn More"
Networking for Web Developers,School of Programming & Development,https://www.udacity.com/course/networking-for-web-developers--ud256,free,course,beginner,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing",You've used the Internet. Now find out more about how it works.Learn More
Database Systems Concepts & Design,School of Autonomous Systems,https://www.udacity.com/course/database-systems-concepts-design--ud150,free,course,intermediate,"Database Management Systems, Relational Algebra, Sequential Query Language, Data Indexing, SQL Injection",This course presents an example of applying a database application development methodology to a major real-world project.Learn More
Intro to Physics,School of Programming & Development,https://www.udacity.com/course/intro-to-physics--ph100,free,course,beginner,"Kinematics, Dynamics, Trigonometry, Periodic Motion, Electricity","Go to the places where big physics discoveries were made in the past and make them yourself. You’ll visit Italy, the Netherlands, and the UK as you learn basic physics.Learn More"
Intro to Relational Databases,School of Programming & Development,https://www.udacity.com/course/intro-to-relational-databases--ud197,free,course,intermediate,"Rational databases, SQL, Python API, Python DB-API, Select and insert statements",Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.Learn More
ES6 - JavaScript Improved,School of Programming & Development,https://www.udacity.com/course/es6-javascript-improved--ud356,free,course,advanced,"JavaScript, ES6, Syntax, Functions",Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.Learn More
Mobile Design and Usability for iOS,School of Programming & Development,https://www.udacity.com/course/mobile-design-and-usability-for-ios--ud1034,free,course,intermediate,"Product Design, Prototyping","In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.Learn More"
Intro to AJAX,School of Programming & Development,https://www.udacity.com/course/intro-to-ajax--ud110,free,course,intermediate,"Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization","Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!Learn More"
